肖申克的救赎, / The Shawshank Redemption,https://movie.douban.com/subject/1292052/
霸王别姬,,https://movie.douban.com/subject/1291546/
阿甘正传, / Forrest Gump,https://movie.douban.com/subject/1292720/
这个杀手不太冷, / Léon,https://movie.douban.com/subject/1295644/
美丽人生, / La vita è bella,https://movie.douban.com/subject/1292063/
泰坦尼克号, / Titanic,https://movie.douban.com/subject/1292722/
千与千寻, / 千と千尋の神隠し,https://movie.douban.com/subject/1291561/
辛德勒的名单, / Schindler's List,https://movie.douban.com/subject/1295124/
盗梦空间, / Inception,https://movie.douban.com/subject/3541415/
忠犬八公的故事, / Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/
海上钢琴师, / La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/
机器人总动员, / WALL·E,https://movie.douban.com/subject/2131459/
三傻大闹宝莱坞, / 3 Idiots,https://movie.douban.com/subject/3793023/
楚门的世界, / The Truman Show,https://movie.douban.com/subject/1292064/
放牛班的春天, / Les choristes,https://movie.douban.com/subject/1291549/
星际穿越, / Interstellar,https://movie.douban.com/subject/1889243/
大话西游之大圣娶亲, / 西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/
熔炉, / 도가니,https://movie.douban.com/subject/5912992/
疯狂动物城, / Zootopia,https://movie.douban.com/subject/25662329/
无间道, / 無間道,https://movie.douban.com/subject/1307914/
龙猫, / となりのトトロ,https://movie.douban.com/subject/1291560/
教父, / The Godfather,https://movie.douban.com/subject/1291841/
当幸福来敲门, / The Pursuit of Happyness,https://movie.douban.com/subject/1849031/
怦然心动, / Flipped,https://movie.douban.com/subject/3319755/
触不可及, / Intouchables,https://movie.douban.com/subject/6786002/
