肖申克的救赎, / The Shawshank Redemption,,                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,                            1994 / 美国 / 犯罪 剧情,                        ,9.7,https://movie.douban.com/subject/1292052/
霸王别姬,,,                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性,                        ,9.6,https://movie.douban.com/subject/1291546/
阿甘正传, / Forrest Gump,,                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,                            1994 / 美国 / 剧情 爱情,                        ,9.5,https://movie.douban.com/subject/1292720/
这个杀手不太冷, / Léon,,                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,                            1994 / 法国 / 剧情 动作 犯罪,                        ,9.4,https://movie.douban.com/subject/1295644/
美丽人生, / La vita è bella,,                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,                            1997 / 意大利 / 剧情 喜剧 爱情 战争,                        ,9.5,https://movie.douban.com/subject/1292063/
泰坦尼克号, / Titanic,,                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,                            1997 / 美国 / 剧情 爱情 灾难,                        ,9.4,https://movie.douban.com/subject/1292722/
千与千寻, / 千と千尋の神隠し,,                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,                            2001 / 日本 / 剧情 动画 奇幻,                        ,9.3,https://movie.douban.com/subject/1291561/
辛德勒的名单, / Schindler's List,,                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,                            1993 / 美国 / 剧情 历史 战争,                        ,9.5,https://movie.douban.com/subject/1295124/
盗梦空间, / Inception,,                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,                        ,9.3,https://movie.douban.com/subject/3541415/
忠犬八公的故事, / Hachi: A Dog's Tale,,                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,                            2009 / 美国 英国 / 剧情,                        ,9.4,https://movie.douban.com/subject/3011091/
海上钢琴师, / La leggenda del pianista sull'oceano,,                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,                            1998 / 意大利 / 剧情 音乐,                        ,9.3,https://movie.douban.com/subject/1292001/
机器人总动员, / WALL·E,,                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,                            2008 / 美国 / 科幻 动画 冒险,                        ,9.3,https://movie.douban.com/subject/2131459/
三傻大闹宝莱坞, / 3 Idiots,,                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,                            2009 / 印度 / 剧情 喜剧 爱情 歌舞,                        ,9.2,https://movie.douban.com/subject/3793023/
楚门的世界, / The Truman Show,,                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,                            1998 / 美国 / 剧情 科幻,                        ,9.3,https://movie.douban.com/subject/1292064/
放牛班的春天, / Les choristes,,                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...,                            2004 / 法国 瑞士 德国 / 剧情 音乐,                        ,9.3,https://movie.douban.com/subject/1291549/
星际穿越, / Interstellar,,                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,                        ,9.3,https://movie.douban.com/subject/1889243/
大话西游之大圣娶亲, / 西遊記大結局之仙履奇緣,,                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,                        ,9.2,https://movie.douban.com/subject/1292213/
熔炉, / 도가니,,                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,                            2011 / 韩国 / 剧情,                        ,9.3,https://movie.douban.com/subject/5912992/
疯狂动物城, / Zootopia,,                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,                            2016 / 美国 / 喜剧 动画 冒险,                        ,9.2,https://movie.douban.com/subject/25662329/
无间道, / 無間道,,                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,                            2002 / 中国香港 / 剧情 犯罪 悬疑,                        ,9.2,https://movie.douban.com/subject/1307914/
龙猫, / となりのトトロ,,                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,                            1988 / 日本 / 动画 奇幻 冒险,                        ,9.2,https://movie.douban.com/subject/1291560/
教父, / The Godfather,,                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,                            1972 / 美国 / 剧情 犯罪,                        ,9.3,https://movie.douban.com/subject/1291841/
当幸福来敲门, / The Pursuit of Happyness,,                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,                            2006 / 美国 / 剧情 传记 家庭,                        ,9.1,https://movie.douban.com/subject/1849031/
怦然心动, / Flipped,,                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,                            2010 / 美国 / 剧情 喜剧 爱情,                        ,9.1,https://movie.douban.com/subject/3319755/
触不可及, / Intouchables,,                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,                            2011 / 法国 / 剧情 喜剧,                        ,9.2,https://movie.douban.com/subject/6786002/
